"Reference","Value","Datasheet","Footprint","Qty","DNP","Manufacturer","Manufacturer part number"
"BT1","3.7 V","https://www.akumulator.si/images/products/Baterija_li-ion_18650_2200mah.pdf","Battery:BatteryHolder_Keystone_1042_1x18650","1","","VELOG","18650-2200mAh-3.7V"
"C1,C3,C5","10u","~","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","3","","SAMSUNG","CL31A106KBHNNNE"
"C4","2 x 22u","~","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1","","AISHI","EWH1EM220D11OT"
"D1,D2,D3,D4","LED","https://www.farnell.com/datasheets/2049542.pdf","LED_THT:LED_D5.0mm","4","","Vishay","TLH540"
"DS1","WC1602A","https://www.wandisplay.com/products/STN-LCD-Character-16x2-LCD-Screen-2x16-1602-LCD-Display-FM-Transmitter-Instrument-Application-WC1602B0.html","Display:WC1602A","1","","Wandisplay","WC1602B0SGW6B-A1"
"J1","USB_B_Mini","https://downloads.lumberg.com/datenblaetter/en/2486_01.pdf","Connector_USB:USB_Mini-B_Lumberg_2486_01_Horizontal","1","","Lumberg","2486-01"
"L1","1u","~","Inductor_THT:L_Radial_D7.2mm_P3.00mm_Murata_1700","1","","FERROCORE","COIL0608-0.33"
"R1","330","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1","","ROYALOHM","1206S4F2001T5E"
"R2,R3","220","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","2","","ROYALOHM","1206S4F2001T5E"
"R4,R5","200","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","2","","ROYALOHM","1206S4F2001T5E"
"R6","1.2k","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1","","ROYALOHM","1206S4F2001T5E"
"R7,R8","1k","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","2","","ROYALOHM","1206S4F2001T5E"
"R9","100k","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1","","ROYALOHM","1206S4J0473T5E"
"R10","732k","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1","","ROYALOHM","1206S4J0473T5E"
"RV1","R_Potentiometer_Small","~","Potentiometer_THT:Potentiometer_Bourns_3299Y_Vertical","1","","Bourns Inc.","PDB181-GTR03-504A2"
"SW1,SW2","SW_Push","~","Button_Switch_THT:SW_PUSH_6mm_H4.3mm","2","","microswitch TACT","TACT-64N-F"
"SW3","SPDT","https://www.nidec-components.com/e/catalog/switch/cas.pdf","Button_Switch_THT:SW_Slide_SPDT_Straight_CK_OS102011MS2Q","1","","CAS","CAS - 120TB1"
"U1","NUCLEO64-F446RE","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/data_brief/DM00105918.pdf","Module:ST_Morpho_Connector_144_STLink","1","","STMicroelectronics","STM32F446RET6"
"U2","PCF8574AP","http://www.nxp.com/docs/en/data-sheet/PCF8574_PCF8574A.pdf","Package_DIP:DIP-16_W7.62mm","1","","NXP","PCF8574AP,112"
"U3","TPS61023DRLR","https://www.ti.com/lit/gpn/tps61023","footprints:DRL0006A","1","","Texas Instruments","TPS61023"
"U4","TP4056","https://www.snapeda.com/parts/TP4056/NanJing%20Top%20Power%20ASIC%20Corp./datasheet/","SOP127P600X175-9N:SOP127P600X175-9N","1","","NanJing Top Power ASIC Corp.","TP4056"
